Date (M/D/Y),Mean Temperature (C),SD,ENSO Period
6/1/22,22.26854167,0.069984701,nina
6/2/22,22.02784722,0.403039437,nina
6/3/22,22.03527778,0.43532151,nina
6/4/22,21.685,0.463973414,nina
6/5/22,21.858125,0.2042964,nina
6/6/22,21.73333333,0.163544652,nina
6/7/22,21.579375,0.166985694,nina
6/8/22,21.61159722,0.223480614,nina
6/9/22,22.33461905,0.854563375,nina
6/10/22,21.39895833,0.43248949,nina
6/11/22,21.14388889,0.297116942,nina
6/12/22,21.33916667,0.318171129,nina
6/13/22,21.40402778,0.828644794,nina
6/14/22,21.49770833,0.840023076,nina
6/15/22,20.14347222,0.529174472,nina
6/16/22,19.70944444,0.8039742,nina
6/17/22,19.83152778,0.756286769,nina
6/18/22,20.10993056,0.734590411,nina
6/19/22,20.194375,0.724291521,nina
6/20/22,19.49861111,0.65685797,nina
6/21/22,20.52548611,0.449652282,nina
6/22/22,19.87847222,0.560301267,nina
6/23/22,20.08013889,0.447115051,nina
6/24/22,19.15048611,0.98213933,nina
6/25/22,19.61548611,0.52373301,nina
6/26/22,18.85805556,0.718920401,nina
6/27/22,19.85902778,0.573159956,nina
6/28/22,20.885625,0.581408609,nina
6/29/22,21.58770833,0.304078842,nina
6/30/22,21.41486111,0.42224009,nina
7/1/22,21.87104167,0.278873154,nina
7/2/22,21.25354167,1.229143467,nina
7/3/22,21.97784722,0.42679512,nina
7/4/22,22.21784722,0.245106408,nina
7/5/22,22.13270833,0.808568811,nina
7/6/22,22.45479167,0.785530838,nina
7/7/22,22.41402778,0.714294918,nina
7/8/22,22.55805556,0.658627815,nina
7/9/22,21.906875,0.433500097,nina
7/10/22,22.04923611,0.523698627,nina
7/11/22,22.34993056,0.347022291,nina
7/12/22,21.35652778,0.982749333,nina
7/13/22,21.20270833,0.982996858,nina
7/14/22,21.42083333,0.596605198,nina
7/15/22,20.10444444,1.282339306,nina
7/16/22,20.01125,0.978854672,nina
7/17/22,20.65340278,0.402730476,nina
7/18/22,20.70236111,0.463161809,nina
7/19/22,20.96111111,0.334829277,nina
7/20/22,20.57534722,0.531102446,nina
7/21/22,20.77881944,0.487410019,nina
7/22/22,21.03159722,0.464342024,nina
7/23/22,19.95708333,0.814921057,nina
7/24/22,19.65805556,1.39402786,nina
7/25/22,21.91680556,0.915124397,nina
7/26/22,22.82006944,0.635764499,nina
7/27/22,23.93048611,0.451179232,nina
7/28/22,24.278125,0.113186329,nina
7/29/22,24.00236111,0.491437148,nina
7/30/22,23.08090278,0.552918402,nina
7/31/22,22.22555556,0.843138308,nina
