ID,Intercept,umol.L.sec,Temp.C
Tpla1_16C,240.2092364,-0.010370646,16.1522037
Tpla1_20C,243.0507433,-0.024743449,20.07348077
Tpla1_24C,233.8740641,-0.023122441,23.74964
Tpla1_26C,218.6845032,-0.019500197,26.34905882
Tpla1_28C,202.7057816,-0.020726353,28.25809259
Tpla1_30C,189.6439474,-0.025061701,30.11728846
Tpla1_32C,180.3163571,-0.023632695,32.12565385
Tpla1_34C,169.1211693,-0.025099489,33.95986792
Tpla1_36C,152.4484777,-0.026472742,36.06705769
Tpla1_40C,142.6465345,-0.021288177,39.06147368
Tpla1_42C,130.0295184,-0.013955719,41.36874074
Tpla2_16C,255.4570003,-0.006630952,16.12325926
Tpla2_20C,258.652442,-0.01072077,20.12386538
Tpla2_24C,249.5212515,-0.011753156,23.49658
Tpla2_26C,235.5210831,-0.014740592,26.41445098
Tpla2_28C,221.9646576,-0.015117224,28.32416667
Tpla2_30C,208.9421336,-0.016535679,30.04738462
Tpla2_32C,195.4634933,-0.019593917,32.20351923
Tpla2_34C,181.7506701,-0.021298494,33.89675472
Tpla2_36C,167.1769545,-0.02283545,35.89155769
Tpla2_40C,149.6934275,-0.016649522,39.26396296
Tpla2_42C,134.3563998,-0.017756078,41.72292593
Tpla3_16C,237.3713058,-0.015815958,16.25192593
Tpla3_20C,240.1091042,-0.021412659,20.24426923
Tpla3_24C,226.7121622,-0.022072706,23.41074
Tpla3_26C,218.8884408,-0.027063964,26.34501961
Tpla3_28C,206.7404775,-0.030777615,28.24085185
Tpla3_30C,190.5019622,-0.03292097,30.06586275
Tpla3_32C,191.0219056,-0.036334487,32.11096154
Tpla3_34C,172.2798446,-0.032457577,33.74469811
Tpla3_36C,150.3554929,-0.033965287,35.91878846
Tpla3_40C,138.2168046,-0.02006934,39.32863793
Tpla3_42C,127.3643554,-0.01797793,41.34792157
Tpla4_16C,216.5174953,-0.007234607,15.90012963
Tpla4_20C,218.2428999,-0.013289148,20.06073077
Tpla4_24C,208.6100501,-0.015940669,23.62114
Tpla4_26C,196.8831722,-0.018083711,26.27990196
Tpla4_28C,184.1272056,-0.02123568,28.20737037
Tpla4_30C,168.6173297,-0.021946517,29.97819608
Tpla4_32C,162.2252844,-0.023768451,32.041
Tpla4_34C,151.8497467,-0.028765386,33.67616981
Tpla4_36C,133.3350392,-0.026165229,35.6645
Tpla4_40C,124.5480771,-0.013975508,39.39287931
Tpla4_42C,113.8742358,-0.014688671,41.27612245
Tpla5_16C,298.6991572,-0.010879848,16.3200566
Tpla5_20C,300.8609023,-0.024222112,20.05661538
Tpla5_24C,286.5708137,-0.026603054,23.60232
Tpla5_26C,277.9599824,-0.020644464,26.37705882
Tpla5_28C,262.1716192,-0.023812896,28.26353704
Tpla5_30C,244.2517875,-0.031619236,29.98168627
Tpla5_32C,229.9158898,-0.033724462,32.05528846
Tpla5_34C,215.3125937,-0.053404505,33.73616981
Tpla5_36C,194.1528503,-0.061050323,35.73067308
Tpla5_40C,163.1260566,-0.028659341,39.822
Tpla5_42C,161.4557312,-0.029714357,41.118
