Organism.ID,Species,subtidal.intertidal,Season,TC,E,Eh,lnc,Th,Topt,Pmax
Hcumingi1,Hcumingi,intertidal,Cold,20,4.611854459,4.881775073,4.269501129,290.3773533,21.5155369,2.313040596
Hcumingi3,Hcumingi,intertidal,Cold,20,-0.406554674,4.51E-06,2.309166269,316.873721,NA,NA
Hcumingi5,Hcumingi,intertidal,Cold,20,-0.115339504,2.784834046,2.081096295,323.3155806,NA,NA
Hcumingi6,Hcumingi,intertidal,Cold,20,-0.14221998,7.36E-06,2.103561542,354.2017487,NA,NA
Hcumingi8,Hcumingi,intertidal,Cold,20,-2.230692041,-2.686590055,6.833016172,309.2998213,31.35170777,1.768363051
Tpla1,Tplanospira,subtidal,Warm,25,0.106517655,10.87826082,2.422616008,313.3763939,36.67473819,2.568950625
Tpla2,Tplanospira,subtidal,Warm,25,-4.537150683,-4.862934254,12.16717621,314.2667392,36.57244687,2.867814891
Tpla3,Tplanospira,subtidal,Warm,25,-4.014194401,-4.270638629,9.595127007,311.9977009,33.53520209,2.435642984
Tpla4,Tplanospira,subtidal,Warm,25,-4.370655854,-4.789722648,10.00340635,311.3133677,34.12691003,2.515964573
Tpla5,Tplanospira,subtidal,Warm,25,-5.3784974,-5.848238686,13.2481997,313.2819736,36.6444135,2.86032335
Tpla7,Tplanospira,subtidal,Warm,25,-4.950687633,-5.31431677,11.15933358,311.3264913,34.12481964,2.756982574
Tpla8,Tplanospira,subtidal,Warm,25,-3.780466628,-4.320080276,9.35563486,311.0442693,34.18102023,2.881177498
Tpla9,Tplanospira,subtidal,Warm,25,0.431293011,11.88108237,2.641615177,312.2063636,36.75463346,3.241158078
Vmel1,Vmelones,subtidal,Warm,25,288.3629286,288.1133183,184.2956765,293.377881,NA,NA
Vmel3,Vmelones,subtidal,Warm,25,4.92147849,4.644908297,5.046186893,293.4939656,NA,NA
Vmel4,Vmelones,subtidal,Warm,25,216.3926292,216.0519976,138.4698408,293.3699564,NA,NA
Vmel5,Vmelones,subtidal,Warm,25,25.33069266,25.23614307,19.78637136,292.9172742,NA,NA
Vmel6,Vmelones,subtidal,Warm,25,0.102894751,34.48158363,2.568993101,313.3318992,38.76204426,2.742649833
Vmel7,Vmelones,subtidal,Warm,25,0.337085338,-1.16E-05,2.28915102,295.4644884,NA,NA
Vmel8,Vmelones,subtidal,Warm,25,31.1214441,31.08210466,22.34618609,293.2908249,NA,NA
Vmel9,Vmelones,subtidal,Warm,25,0.383204715,4.25E-06,3.007303725,305.1343149,NA,NA
W1,Hprinceps,subtidal,Cold,22,0.980932009,1.863666945,1.3263853,301.2861372,28.5796424,1.419871144
W3,Hprinceps,subtidal,Cold,22,-1.765403063,-1.994654216,5.596904661,314.9934924,33.32721697,0.868901485
W5,Hprinceps,subtidal,Cold,22,1.699271485,2.664752393,1.718041812,298.2143994,26.69964689,1.749627483
W6,Hprinceps,subtidal,Cold,22,0.359959855,1.788782375,0.983951895,308.2629339,28.92663757,1.083688722
W8,Hprinceps,subtidal,Cold,22,-2.254860568,-2.665142867,5.773315051,309.8639614,31.51108045,1.13531731
