,Organism.ID,Species,Experiment,fed.fasted,subtidal.intertidal,Season,TC,predator.prey,E,Eh,lnc,Th,Topt,Pmax
79,Tpla1,Tplanospira,Predation,fed,subtidal,Warm,25,Predator,0.106517655,10.87826082,2.422616008,313.3763939,36.67473819,2.568950625
80,Tpla2,Tplanospira,Predation,fed,subtidal,Warm,25,Predator,-4.537150683,-4.862934254,12.16717621,314.2667392,36.57244687,2.867814891
81,Tpla3,Tplanospira,Predation,fed,subtidal,Warm,25,Predator,-4.014194401,-4.270638629,9.595127007,311.9977009,33.53520209,2.435642984
82,Tpla4,Tplanospira,Predation,fed,subtidal,Warm,25,Predator,-4.370655854,-4.789722648,10.00340635,311.3133677,34.12691003,2.515964573
83,Tpla5,Tplanospira,Predation,fed,subtidal,Warm,25,Predator,-5.3784974,-5.848238686,13.2481997,313.2819736,36.6444135,2.86032335
84,Tpla7,Tplanospira,Predation,fed,subtidal,Warm,25,Predator,-4.950687633,-5.31431677,11.15933358,311.3264913,34.12481964,2.756982574
85,Tpla8,Tplanospira,Predation,fed,subtidal,Warm,25,Predator,-3.780466628,-4.320080276,9.35563486,311.0442693,34.18102023,2.881177498
86,Tpla9,Tplanospira,Predation,fed,subtidal,Warm,25,Predator,0.431293011,11.88108237,2.641615177,312.2063636,36.75463346,3.241158078
128,W1,Hprinceps,Predation,fed,subtidal,Cold,22,Predator,0.980932009,1.863666945,1.3263853,301.2861372,28.5796424,1.419871144
129,W3,Hprinceps,Predation,fed,subtidal,Cold,22,Predator,-1.765403063,-1.994654216,5.596904661,314.9934924,33.32721697,0.868901485
130,W5,Hprinceps,Predation,fed,subtidal,Cold,22,Predator,1.699271485,2.664752393,1.718041812,298.2143994,26.69964689,1.749627483
131,W6,Hprinceps,Predation,fed,subtidal,Cold,22,Predator,0.359959855,1.788782375,0.983951895,308.2629339,28.92663757,1.083688722
132,W8,Hprinceps,Predation,fed,subtidal,Cold,22,Predator,-2.254860568,-2.665142867,5.773315051,309.8639614,31.51108045,1.13531731
57,Hcumingi1,Hcumingi,Predation,fed,intertidal,Cold,20,Predator,4.611854459,4.881775073,4.269501129,290.3773533,21.5155369,2.313040596
95,Vmel6,Vmelones,Predation,fed,subtidal,Warm,25,Predator,0.102894751,34.48158363,2.568993101,313.3318992,38.76204426,2.742649833
