Experiment,Species,subtidal.intertidal,Season,term,X,Organism.ID,estimate,std.error,statistic,p.value,ID,Intercept,umol.L.sec,Temp.C,Chamber.Channel,Run,Location,TC,K,Temp.Cat,Start.time,Stop.Time,rate.type,Volume,AFDW,Blank,Total.Chamber.Vol.mL,Organism.Vol.mL,Ambient.Temp,umol.sec,blank.rate,umol.sec.corr,umol.cm2.hr,ln.rate,conf.low,conf.high,X97.5..
Predation,Hcumingi,intertidal,Cold,E,7897,Hcumingi1,4.611854459,9.834636013,0.468940025,0.650263923,Hcumingi_30C_1_O2,176.9964215,-0.043849068,30.02308029,1,1,Tijeretas,20,303.1730803,30,15:03:52,15:15:45,R,1.5,49,0,1500,1.1,NA,-0.043849068,-0.001392418,-0.04245665,6.645388696,2.034102681,Hcumingi1,-17.63563784,26.85934676
Predation,Hcumingi,intertidal,Cold,E,7897,Hcumingi1,4.611854459,9.834636013,0.468940025,0.650263923,Hcumingi_30C_1_O2,176.9964215,-0.043849068,30.02308029,1,1,Tijeretas,20,303.1730803,30,15:03:52,15:15:45,R,1.5,49,0,1500,1.1,NA,-0.043849068,-0.001392418,-0.04245665,6.645388696,2.034102681,Hcumingi3,-191.1365889,190.3234796
Predation,Hcumingi,intertidal,Cold,E,7897,Hcumingi1,4.611854459,9.834636013,0.468940025,0.650263923,Hcumingi_30C_1_O2,176.9964215,-0.043849068,30.02308029,1,1,Tijeretas,20,303.1730803,30,15:03:52,15:15:45,R,1.5,49,0,1500,1.1,NA,-0.043849068,-0.001392418,-0.04245665,6.645388696,2.034102681,Hcumingi5,-0.853605232,0.622926224
Predation,Hcumingi,intertidal,Cold,E,7897,Hcumingi1,4.611854459,9.834636013,0.468940025,0.650263923,Hcumingi_30C_1_O2,176.9964215,-0.043849068,30.02308029,1,1,Tijeretas,20,303.1730803,30,15:03:52,15:15:45,R,1.5,49,0,1500,1.1,NA,-0.043849068,-0.001392418,-0.04245665,6.645388696,2.034102681,Hcumingi6,-284.8255967,284.5411567
Predation,Hcumingi,intertidal,Cold,E,7897,Hcumingi1,4.611854459,9.834636013,0.468940025,0.650263923,Hcumingi_30C_1_O2,176.9964215,-0.043849068,30.02308029,1,1,Tijeretas,20,303.1730803,30,15:03:52,15:15:45,R,1.5,49,0,1500,1.1,NA,-0.043849068,-0.001392418,-0.04245665,6.645388696,2.034102681,Hcumingi8,-7.400310612,2.93892653
Predation,Hcumingi,intertidal,Cold,E,7902,Hcumingi1,4.611854459,9.834636013,0.468940025,0.650263923,Hcumingi_41C_1_O2,100.860236,-0.029613031,41.00750676,1,1,Tijeretas,20,314.1575068,41,17:49:20,18:02:10,R,1.5,49,0,1500,1.1,NA,-0.029613031,-0.000344588,-0.029268443,4.5811476,1.719394418,Hcumingi1,-17.63563784,26.85934676
Predation,Hcumingi,intertidal,Cold,E,7902,Hcumingi1,4.611854459,9.834636013,0.468940025,0.650263923,Hcumingi_41C_1_O2,100.860236,-0.029613031,41.00750676,1,1,Tijeretas,20,314.1575068,41,17:49:20,18:02:10,R,1.5,49,0,1500,1.1,NA,-0.029613031,-0.000344588,-0.029268443,4.5811476,1.719394418,Hcumingi3,-191.1365889,190.3234796
Predation,Hcumingi,intertidal,Cold,E,7902,Hcumingi1,4.611854459,9.834636013,0.468940025,0.650263923,Hcumingi_41C_1_O2,100.860236,-0.029613031,41.00750676,1,1,Tijeretas,20,314.1575068,41,17:49:20,18:02:10,R,1.5,49,0,1500,1.1,NA,-0.029613031,-0.000344588,-0.029268443,4.5811476,1.719394418,Hcumingi5,-0.853605232,0.622926224
Predation,Hcumingi,intertidal,Cold,E,7902,Hcumingi1,4.611854459,9.834636013,0.468940025,0.650263923,Hcumingi_41C_1_O2,100.860236,-0.029613031,41.00750676,1,1,Tijeretas,20,314.1575068,41,17:49:20,18:02:10,R,1.5,49,0,1500,1.1,NA,-0.029613031,-0.000344588,-0.029268443,4.5811476,1.719394418,Hcumingi6,-284.8255967,284.5411567
Predation,Hcumingi,intertidal,Cold,E,7902,Hcumingi1,4.611854459,9.834636013,0.468940025,0.650263923,Hcumingi_41C_1_O2,100.860236,-0.029613031,41.00750676,1,1,Tijeretas,20,314.1575068,41,17:49:20,18:02:10,R,1.5,49,0,1500,1.1,NA,-0.029613031,-0.000344588,-0.029268443,4.5811476,1.719394418,Hcumingi8,-7.400310612,2.93892653
