Species,Temp.Cat,Light_Dark,Run,blank.rate
Vmelones,20,Dark,1,-0.002327877
Vmelones,24,Dark,1,-0.002487644
Vmelones,26,Dark,1,-0.00263737
Vmelones,28,Dark,1,-0.002317966
Vmelones,30,Dark,1,-0.003444939
Vmelones,32,Dark,1,-0.00437244
Vmelones,34,Dark,1,-0.004290419
Vmelones,36,Dark,1,-0.003045065
Vmelones,40,Dark,1,-0.003402375
Tplanospira,16,Dark,5,-0.001603859
Tplanospira,20,Dark,5,-0.001653741
Tplanospira,24,Dark,5,-0.002105247
Tplanospira,26,Dark,5,-0.004326732
Tplanospira,28,Dark,5,-0.00444508
Tplanospira,30,Dark,5,-0.005549142
Tplanospira,32,Dark,5,-0.005967198
Tplanospira,34,Dark,5,-0.006745521
Tplanospira,36,Dark,5,-0.004836013
Tplanospira,40,Dark,5,-0.004492903
Tplanospira,42,Dark,5,-0.007502719
Hcumingi,16,Dark,"1,3,5,6,8",0.000188251
Hcumingi,18,Dark,"1,3,5,6,8",0.000134706
Hcumingi,20,Dark,"1,3,5,6,8",-0.000160707
Hcumingi,22,Dark,"1,3,5,6,8",-0.000400826
Hcumingi,24,Dark,"1,3,5,6,8",-0.000264375
Hcumingi,26,Dark,"1,3,5,6,8",-0.000529474
Hcumingi,28,Dark,"1,3,5,6,8",-0.001055781
Hcumingi,30,Dark,"1,3,5,6,8",-0.001392418
Hcumingi,32,Dark,"1,3,5,6,8",-0.002012268
Hcumingi,34,Dark,"1,3,5,6,8",-0.00217556
Hcumingi,36,Dark,"1,3,5,6,8",-0.001820152
Hcumingi,39,Dark,"1,3,5,6,8",-0.001683533
Hcumingi,41,Dark,"1,3,5,6,8",-0.000344588
Hprinceps,16,Dark,8,-0.000613758
Hprinceps,20,Dark,8,0.000850183
Hprinceps,22,Dark,8,-0.002228317
Hprinceps,24,Dark,8,-0.001588874
Hprinceps,26,Dark,8,-0.003038414
Hprinceps,28,Dark,8,-0.005174968
Hprinceps,30,Dark,8,-0.003554599
Hprinceps,32,Dark,8,-0.003518317
Hprinceps,34,Dark,8,-0.00306164
Hprinceps,36,Dark,8,-0.007788226
Hprinceps,39,Dark,8,-0.003574459
Hprinceps,42,Dark,8,-0.001278818
